"Token","MerchantName","AccountNum","BankName"
"T9LcMK8d","Lins","502400","US Bank"
"tscrYq8i","Ross","502402","Bank of America"
"K3jNFirI","Cal Ranch","502368","Bank of America"
"8KGpSGFz","Smiths","502370","US Bank"
"R9noIpS3","Steven Wade","502374","US Bank"
"Gur1JGgE","Harmons","502390","Wells Fargo"
"tk3UJY1i","Sportsmans Warehouse","502380","US Bank"
"c2JlZZK0","Red Rock Bicycles","502377","Wells Fargo"
"Bh1vFywo","Costco","502408","US Bank"
"eiL0kCIG","Chic Fil a","502365","US Bank"
"juVCKhm5","Utah Tech Book Store","502359","Capitol One"
"tOZqyCCI","Salty Fins","502371","Chase"
"BpH4WyUL","Big O tire","502363","Chase"
"Eo3rrslL","Laser Mania","502378","Capitol One"
"CWqeG5D9","GameStop","502375","Bank of America"
"wvFi9Wq7","Kohls","502381","Capitol One"
"59yjhZpF","Snow Canyon State Park","502373","Chase"
"fjsUbsS4","T-Mobile","502372","Bank of America"
"RXQBBLsx","Boot Barn","502366","Wells Fargo"
"mvyu2QGI","Stampede Station","502357","US Bank"
"BIbCC76v","TJ Maxx","502391","US Bank"
"HqQ6A4ls","Home Depot","502382","Capitol One"
"buEndUhE","Bed Bath & Beyond","502369","US Bank"
"7yoshIXV","Big 5","502407","US Bank"
"NfWMtPpL","UPS","502401","Bank of America"
"tZt9gRLD","FTD Florists","502383","Bank of America"
"5ZGOURsM","Thomas Judds Store","502387","Bank of America"
"DbHwyF39","Staples","502394","Capitol One"
"Ll114uWM","Ulta Beauty","502388","Chase"
"nszJcPm9","FedEx","502386","Wells Fargo"
"Za1reQlY","Petco","502398","Bank of America"
"btG6RPSR","Camping World","502395","Chase"
"Bx4VqkDM","Phat Axe","502385","Wells Fargo"
"DI2hHV9W","Party City","502406","Wells Fargo"
"EF4ex7QC","AutoZone","502360","Chase"
"j6hCAmwX","Lip Trix","502364","US Bank"
"XL8ijLi0","Deja Vu Nails","502384","US Bank"
"XQ3nFakN","Michaels","502393","US Bank"
"ciAnLzvE","Contact Climbing","502396","US Bank"
"iOcg3Fdp","House of Jump","502379","US Bank"
"gtr2rE3u","Jo-Ann","502397","Bank of America"
"EyYEOWRd","Ross","502361","Chase"
"YdRtbmyT","Zupas","502405","Bank of America"
"RrdGtYb5","Fiesta Fun","502392","US Bank"
"lwgNv5lM","Family Dollar","502404","US Bank"
"NiDSpa1J","Old Navy","502367","US Bank"
"Y4SJMkgV","Bath & Body Works","502356","Chase"
"a4gFoVo0","Best Buy","502362","Capitol One"
"tLxzojhW","Dillards","502376","US Bank"
"QogpHAQg","Famous Footwear","502358","Wells Fargo"